dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,n_rank,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,before_status,before_after_params,before_rank_gap,before_parsed_rank_gap,before_parsed_after_params,before_runtime_ms,before_peak_rss_mb,before_passes,before_egraph_total_size,before_rendered,after_status,after_after_params,after_rank_gap,after_parsed_rank_gap,after_parsed_after_params,after_runtime_ms,after_peak_rss_mb,after_passes,after_egraph_total_size,after_rendered,agent_status,conclusion_kind,new_rule_family,proposed_rule,proof_summary,remaining_gap_notes,longer_probe_status,longer_probe_after_params,longer_probe_rank_gap,longer_probe_improved,longer_probe_reached_rank,longer_probe_runtime_ms,longer_probe_peak_rss_mb,before_rank_miss,after_rank_miss,param_delta,rank_gap_delta,missing_rank,execution_issue,fixed_by_extra_rules,still_missed,newly_missed,under_rank,regressed_params,outcome,remaining_issue
pagie,24,Bingo,24,sympy,Bingo,3.0,0.2866350699692545 * log(x0 * x1) - 0.1177641535011456 * log(-4625426.158330705 / log(0.5182334989833757 / x1)) + 2.988374508357782,5.0,16.0,saturated,5.0,2.0,2.0,5.0,59.66637501842342,109.71875,2.0,95.0,0.2866350699692545 * log(x0 * x1) + -0.1177641535011456 * log(-4625426.158330705 / (-0.65732936805086 - log(x1))) + 2.988374508357782,saturated,5.0,2.0,2.0,5.0,119.30083300103432,111.5625,2.0,325.0,0.2866350699692545 * log(x0 * x1) + -0.1177641535011456 * log(-4625426.158330705 / (-0.65732936805086 - log(x1))) + 2.988374508357782,done,new_rule_partial_reduction,affine_constant_collection,"a*log(c/y)+b -> (-a)*log(-y)+(b+a*log(-c)), c < 0, y < 0","For C<0 and y=log(D/x1)<0, -B*log(C/y)+K becomes B*log(-y)+(K-B*log(-C)), folding C and K: 5->4. No sound 4->3 path found.",D remains inside log(-log(D/x1)); reaching rank 3 needs more than current rules.,ok,5.0,2.0,False,False,98.4213330084458,106.796875,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,rule_added_but_not_matching
pagie,96,GOMEA,7,original,GP-GOMEA,3.0,1.918745 - 23802.792114 * (exp(-10.432 - x0 * x0) + exp(2.7 - 12.507 - x1 * x1)),5.0,17.0,saturated,4.0,1.0,1.0,4.0,49.436041997978464,109.671875,2.0,22.0,23802.792114 * (8.061008098589655e-05 - exp(-10.432 - x0 * x0) - exp(-9.806999999999999 - x1 * x1)),saturated,4.0,1.0,1.0,4.0,65.17316700774245,100.984375,2.0,22.0,23802.792114 * (8.061008098589655e-05 - 2.9474060102652252e-05 / exp(x0 * x0) - 5.506479363589452e-05 / exp(x1 * x1)),done,new_rule_reduces_to_rank,exp_additive_constant_extraction,a*(k - exp(c+u) - exp(d+v)) -> (a*exp(c))*(k/exp(c) - exp(u) - exp(d-c)*exp(v)); include sign/order variants,"Current rules fold 2.7-12.507 and factor to 23802.792114*(8.061008098589655e-05 - exp(-10.432-x0*x0) - exp(-9.807-x1*x1)). Extracting exp constants and outer scale gives 0.7015649253789731*(2.7349500104548805 - exp(-x0*x0) - 1.8682459574322257*exp(-x1*x1)), with 3 floats.",Reaches rank if scaled exp additive extraction is available; no current-rule-only path.,ok,4.0,1.0,False,False,48.59608301194385,100.5625,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,rule_added_but_not_matching
kotanchek,14,Bingo,14,sympy,Bingo,3.0,(0.0506336679649604 * x1 + 0.008870475378536939) * log(2.0 * x1 - 9.541496629390634) / (-1.0 * x0 + 0.3460574947000204 * exp(x0) + 0.35735928587754767),5.0,18.0,saturated,5.0,2.0,2.0,5.0,445.360832993174,121.328125,2.0,78.0,0.0506336679649604 * (x1 + 0.1751892709940647) * log(2.0 * (x1 + -4.770748314695317)) / (0.35735928587754767 - x0 + 0.3460574947000204 * exp(x0)),saturated,5.0,2.0,2.0,5.0,1494.086624996271,133.9375,2.0,246.0,0.0506336679649604 * (x1 + 0.1751892709940647) * log(2.0 * (x1 + -4.770748314695317)) / (0.35735928587754767 - x0 + 0.3460574947000204 * exp(x0)),done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,Existing factoring gives 0.0506336679649604*(x1+0.1751892709940647) and log(2.0*(x1-4.770748314695317)). The two x1 shifts differ. Splitting log(2*u) adds a non-droppable A*log(2) term. Denominator has two independent constants after fixed -x0 coefficient.,n_rank=3 not explained by sound algebraic rewrites; likely rank/metadata or data-local artifact.,timeout,na,na,False,False,na,312.21875,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
kotanchek,14,Bingo,14,original,Bingo,3.0,(-0.008870475378536939 + -0.0506336679649604 * x1) * ((x0 + -0.3460574947000204 * (1.0326587094648079 + exp(x0))) ** (-1.0) * log(abs(-9.541496629390634 + 2.0 * x1))),5.0,20.0,saturated,5.0,2.0,2.0,5.0,44.91062500164844,109.265625,1.0,98.0,(-0.008870475378536939 + -0.0506336679649604 * x1) * ((x0 + -0.3460574947000204 * (1.0326587094648079 + exp(x0))) ** (-1.0) * log(abs(-9.541496629390634 + 2.0 * x1))),saturated,5.0,2.0,2.0,5.0,91.8628330109641,110.640625,1.0,125.0,(-0.008870475378536939 + -0.0506336679649604 * x1) * ((x0 + -0.3460574947000204 * (1.0326587094648079 + exp(x0))) ** (-1.0) * log(abs(-9.541496629390634 + 2.0 * x1))),done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,Numerator a+b*x1 can factor to b*(x1+a/b) but remains 2 params; denominator x0+c*(d+exp(x0)) has c and c*d; log(abs(e+2*x1)) has shift e. Inverse or abs/log factoring does not reduce below 5 under current cost model.,"n_rank=3 looks like benchmark/data rank artifact, not missing current-rule application.",ok,5.0,2.0,False,False,35.42587498668581,100.953125,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
kotanchek,8,Bingo,8,sympy,Bingo,2.0,-0.11720391936222797 * x1 * (x0 * (x0 + 1.2816489216174494 * (0.7212632969011202 * x1 - 1.0) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0),5.0,21.0,saturated,5.0,3.0,3.0,5.0,47.46220799279399,110.078125,1.0,125.0,-0.11720391936222797 * x1 * (x0 * (x0 + 1.2816489216174494 * (0.7212632969011202 * x1 - 1.0) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0),saturated,5.0,3.0,3.0,5.0,66.9378750026226,110.34375,1.0,297.0,-0.11720391936222797 * x1 * (x0 * (x0 + 1.2816489216174494 * (0.7212632969011202 * x1 - 1.0) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0),done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Writing E=-a*x1*exp(-x0)*(x0^2+x0*b*(g*x1-1)^2-d*x0-e), expansion yields five independent coefficient directions. Since a,b,g are nonzero, the coefficients generically recover a,g,b,d,e; no sound 2-param rewrite is evident.",Square recentering or expansion changes syntax but not count; n_rank=2 likely finite-data/numerical rank or counting artifact.,ok,5.0,3.0,False,False,53.21687500691041,111.421875,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
kotanchek,27,Bingo,27,original,Bingo,4.0,-1.9305547847352778 * ((10.665734721501936 + x0 * (x0 * x0) * (x0 * (x0 * x0)) + 2.057897964881403 * x1 - x0) ** (-1.0) * (0.20556825888097427 + -2.9052829962789213 * x0 + exp(log(abs(x0))) - x1)),5.0,21.0,saturated,5.0,1.0,1.0,5.0,54.703792004147545,109.90625,2.0,76.0,-1.9305547847352778 * ((10.665734721501936 + x0 * (x0 * x0) * (x0 * (x0 * x0)) + 2.057897964881403 * x1 - x0) ** (-1.0) * (-2.9052829962789213 * (x0 + -0.07075670739968036) + exp(log(abs(x0))) - x1)),saturated,5.0,1.0,1.0,5.0,87.87154202582315,111.578125,2.0,145.0,-1.9305547847352778 * ((10.665734721501936 + x0 * (x0 * x0) * (x0 * (x0 * x0)) + 2.057897964881403 * x1 - x0) ** (-1.0) * (-2.9052829962789213 * (x0 + -0.07075670739968036) + abs(x0) - x1)),done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none for param count; optional node-only exp(log(y))->y when y>0 or exp(log(abs(x)))->abs(x) when x!=0,"Current rules only refactor affine numerator. On x0 sign components, exp(log(abs(x0)))=abs(x0)=+/-x0, giving rational form (alpha+beta*x0+gamma*x1)/(B+x0^6+C*x1-x0); cross-multiplying generically fixes five degrees.",n_rank=4 likely finite-data/numerical-rank or external counting; rational collection may clean shape but not count.,ok,5.0,1.0,False,False,64.00124900392257,111.515625,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
kotanchek,27,Bingo,27,sympy,Bingo,4.0,(3.678253204741038 * x0 + 1.9305547847352778 * x1 - 0.39686078577236517) / (x0 ** 6.0 - x0 + 2.057897964881403 * x1 + 10.665734721501936),5.0,23.0,saturated,5.0,1.0,1.0,5.0,40.12304201023653,109.6875,1.0,157.0,(3.678253204741038 * x0 + 1.9305547847352778 * x1 - 0.39686078577236517) / (x0 ** 6.0 - x0 + 2.057897964881403 * x1 + 10.665734721501936),saturated,5.0,1.0,1.0,5.0,243.07325002155267,121.640625,1.0,2873.0,(3.678253204741038 * x0 + 1.9305547847352778 * x1 - 0.39686078577236517) / (x0 ** 6.0 - x0 + 2.057897964881403 * x1 + 10.665734721501936),done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none for parameter count; optional rational affine collection only normalizes shape,"Current rules do not collect the whole rational as (a*x+b*y+c)/(p(x)+d*y+e). Cross-multiplying two such forms forces a,b,c from x*p,y*p,p coefficients, then forces d,e; five non-integer floats are generically identifiable.",n_rank=4 not explained by current rules or sound global rewrite; likely external rank/data artifact.,ok,5.0,1.0,False,False,1326.0876660060603,202.28125,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
kotanchek,21,Bingo,21,sympy,Bingo,3.0,0.35701166729086253 * (-1.0 * x0 - exp(x0)) / (0.17850583364543127 * x0 * exp(x0) - exp(0.35701166729086253 * x0 + 0.35701166729086253 * exp(x0)) + log(x0 + exp(x0)) - 1.0299868162495163),5.0,24.0,saturated,4.0,1.0,1.0,4.0,570.64670798718,128.9375,2.0,58.0,-0.35701166729086253 * (x0 + exp(x0)) / (0.17850583364543127 * x0 * exp(x0) - exp(0.35701166729086253 * (x0 + exp(x0))) + log(x0 + exp(x0)) + -1.0299868162495163),saturated,4.0,1.0,1.0,4.0,836.3609580264892,133.390625,2.0,58.0,-0.35701166729086253 * (x0 + exp(x0)) / (0.17850583364543127 * x0 * exp(x0) - exp(0.35701166729086253 * (x0 + exp(x0))) + log(x0 + exp(x0)) + -1.0299868162495163),done,new_rule_reduces_to_rank,quotient_coefficient_exposure,"(a*x)/(b*y + z) -> x/(y/(a/b) + z/a); guards: a != 0, b != 0, a/b integer-valued/profitable; add sign/order variants","Current rules stop at (-A*u)/(B*v - exp(A*u)+log(u)-C), counted as A,B,A,C. Scaling the denominator by A uses A/B=2, producing u/(v/-2 + tail/-A), counted as A,A,C because -2 is integer-valued: 4->3.",Reaches rank; profitability guard avoids cases where a/b introduces a counted float.,ok,4.0,1.0,False,False,38392.464624979766,887.453125,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,rule_added_but_not_matching
pagie,20,Bingo,20,sympy,Bingo,3.0,0.00010507476032088567 * (819.22982975795 * x0 + x1 - 1.9180501896236644) * log(x0 * x1 * (448579.1335037871 * x0 ** 3.0 * x1 ** 3.0 + 569.384534287446)) / x0,5.0,27.0,saturated,5.0,2.0,2.0,5.0,49.9166669906117,108.703125,1.0,164.0,0.00010507476032088567 * (819.22982975795 * x0 + x1 - 1.9180501896236644) * log(x0 * x1 * (448579.1335037871 * x0 ** 3.0 * x1 ** 3.0 + 569.384534287446)) / x0,saturated,5.0,2.0,2.0,5.0,139.7070839884691,112.296875,2.0,111.0,log(x0 * x1 * (448579.1335037871 * x0 ** 3.0 * x1 ** 3.0 + 569.384534287446)) * (0.00010507476032088567 * ((-1.9180501896236644 + x1) / x0 + 819.22982975795)),done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"The large log coefficient is buried inside c*T+d, so current log(a*y) cannot expose it. But the five counted params k,a,b,c,d are locally independent: k,a,b derivatives involve Q*L,L,L/x0 while c,d derivatives are rational in T over c*T+d and cannot be spanned by the L directions.",A guarded log-polynomial factoring rule may normalize shape but does not reach rank 3.,ok,5.0,2.0,False,False,72.43566599208862,112.875,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
pagie,169,SBP,19,original,SBP,4.0,0.012782 + 0.160826 * (exp(x0 * x0 - exp(x0)) * (x0 - (-13.585 - x0 + exp(2.825 - x1 * x1)) * x0 + 2.825)),5.0,28.0,saturated,5.0,1.0,1.0,5.0,33.147124981042,109.0,1.0,48.0,0.012782 + 0.160826 * (exp(x0 * x0 - exp(x0)) * (x0 - (-13.585 - x0 + exp(2.825 - x1 * x1)) * x0 + 2.825)),saturated,5.0,1.0,1.0,5.0,44.62745800265111,100.484375,1.0,53.0,0.012782 + 0.160826 * (exp(x0 * x0 - exp(x0)) * (x0 - (-13.585 - x0 + exp(2.825 - x1 * x1)) * x0 + 2.825)),done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Current rules can reorder/factor but cannot eliminate the duplicated 2.825 across an additive term and exp(2.825 - x1^2). Under occurrence-count cost there are five non-integer float occurrences: 0.012782, 0.160826, -13.585, 2.825, 2.825.","Closing this likely requires shared-parameter/let-binding accounting, not a local rewrite.",ok,5.0,1.0,False,False,31.713167001726102,110.859375,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
