dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_n_params,source_before_nodes,n_rank,after_params,rank_gap,source_orig_parsed_expr,rendered,small_long_backoff_probe_status,small_long_backoff_probe_after_params,small_no_backoff_probe_status,small_no_backoff_probe_after_params,big_probe_status,big_probe_after_params,big_probe_runtime_ms,big_probe_peak_rss_mb,manual_classification,current_rules_outcome,manual_reason
pagie,179,SBP,29,sympy,SBP,7.0,28.0,4.0,6.0,2.0,(0.004516 * x0 * x1 * (x1 - 4.432) * (1.033 * exp(x0) - 13.9852052082504) * (-1.0 * x0 + x1 + 3.749) + (0.105238 - 0.004516 * x0) * exp(x0)) * exp(-1.0 * x0),(0.004665028 * (x1 * x0 * (exp(x0) + -13.538436794046856)) * (x1 + -4.432) * (x1 - x0 + 3.749) + 0.004516 * (23.303365810451727 - x0) * exp(x0)) * exp(-1.0 * x0),ok,6.0,memory_limit,na,ok,6.0,30666.06262497953,561.625,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
pagie,165,SBP,15,sympy,SBP,7.0,30.0,4.0,5.0,1.0,0.01085 * x0 ** 3.0 - 0.1463448 * x0 ** 2.0 + 0.19689495 * x0 + 0.1607319 * x1 + 0.01085 * exp(x0) - 0.01085 * exp(x1) + 0.0894957768,-0.01085 * (exp(x1) - exp(x0) + -14.814 * x1 - (18.147000000000002 * x0 + x0 ** 3.0)) + -0.1463448 * x0 ** 2.0 + 0.0894957768,ok,5.0,memory_limit,na,ok,5.0,18408.046875003492,696.484375,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
pagie,159,SBP,10,sympy,SBP,8.0,38.0,5.0,6.0,1.0,(-0.001732 * x0 * (0.000627353738614736 * (x0 - 1.883) * (386780.368892305 * x0 + 128926.789630768 * x1) - 20.41 * exp(x0)) + (0.001732 * x1 + 0.154306) * exp(x0)) * exp(-1.0 * x0),(-0.42026652729485225 * x0 * ((x0 + -1.883) * (x0 + 0.3333333333333325 * x1) + -0.08411357484865532 * exp(x0)) + 0.001732 * (x1 + 89.09122401847574) * exp(x0)) * exp(-1.0 * x0),ok,6.0,memory_limit,na,ok,6.0,159580.02499997383,838.40625,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
pagie,151,SBP,2,sympy,SBP,8.0,40.0,2.0,5.0,3.0,-0.018385 * x0 ** 2.0 - 0.018385 * x0 * x1 - 0.018385 * x1 ** 3.0 + 0.07247367 * x1 ** 2.0 + 0.05508969648 * x1 + 0.166642 - 0.018385 * exp(-13.828 * x0),-0.018385 * (x1 * (-2.996448 + x0) + (exp(-13.828 * x0) + (x1 ** 3.0 + x0 ** 2.0)) + -9.064019581180311) + 0.07247367 * x1 ** 2.0,ok,5.0,memory_limit,na,ok,5.0,104949.6985420119,2759.3125,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
pagie,172,SBP,22,sympy,SBP,8.0,40.0,4.0,5.0,1.0,0.02889 * x0 ** 3.0 - 0.18081288 * x0 ** 2.0 + 0.18081288 * x0 + 0.14418036 * x1 - 0.00963 * exp(x1) + 0.179028 - 0.00963 * exp(-15.767 * x0),-0.00963 * (exp(-15.767 * x0) + (exp(x1) + -3.0 * (6.2586666666666675 * (x0 - x0 ** 2.0) + x0 ** 3.0 + 4.990666666666667 * x1))) + 0.179028,ok,5.0,memory_limit,na,ok,5.0,122283.129043004,1022.53125,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
kotanchek,163,SBP,14,sympy,SBP,10.0,41.0,5.0,6.0,1.0,((0.009239 * x0 - 0.018478 * x1 * (x0 - 9.621) + (0.009239 * x0 - 0.042748853) * exp(x0) - 0.009239 * exp(x1) + 0.208799) * exp(17.386 * x0) - 0.009239) * exp(-17.386 * x0),0.009239 * (exp(17.386 * x0) * (22.5997402316268 - (exp(x1) - exp(x0) * (x0 - 4.627)) - (2.0 * ((x0 - 9.621) * x1) - x0)) - 1.0) * exp(-17.386 * x0),ok,6.0,memory_limit,na,ok,6.0,20042.662874999223,772.15625,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
kotanchek,120,Operon,1,sympy,Operon,11.0,48.0,8.0,9.0,1.0,(1.0001556873321533 * (4.740077740995787 * x1 ** 2.0 - 39.54774475097656 * x1 + 83.59192657470703) * (0.0012082674617850116 * x1 ** 3.0 + 0.0003036445996258 * x1 + 0.0006379182450473) * exp(1.9995476007461548 * x0) - 6.445771578e-05 * exp(0.999705792384703 * x0 ** 2.0)) * exp(-0.999705792384703 * x0 ** 2.0),(0.005728173365985095 * ((x1 ** 3.0 + 0.25130578222905736 * x1 + 0.5279611222045848) * (x1 ** 2.0 - 8.343269227198043 * x1 + 17.63513831255143)) * exp(1.9995476007461548 * x0) - 6.445771578e-05 * exp(0.999705792384703 * x0 ** 2.0)) * exp(-0.999705792384703 * x0 ** 2.0),ok,9.0,ok,9.0,ok,9.0,1928.6349570029415,169.90625,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
pagie,140,Operon,21,original,Operon,13.0,45.0,8.0,9.0,1.0,0.0056000440381467 + 0.9965137243270874 * (0.7391300201416016 + exp(-26.249916076660156 * x1 * (0.1143757924437523 * x1)) * (-49.57872009277344 * x1 * (0.0202242378145456 * x1)) - (exp(2.2524499893188477 * x1 * (-0.3599792122840881 * x1)) + exp(exp(-0.7799134254455566 * x0 * (1.503896713256836 * x0)) * -1.7264224290847778) * -1.239898443222046)),0.9965137243270874 * (0.7391300201416016 + exp(-3.002354952849999 * (x1 * x1)) * (-1.0026918256970403 * (x1 * x1)) - exp(-0.8108351728643014 * (x1 * x1)) + 1.239898443222046 * exp(exp(-1.172909237152453 * (x0 * x0)) * -1.7264224290847778) + 0.005619635637159161),ok,9.0,ok,9.0,ok,9.0,148.14545796252787,111.390625,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
pagie,146,Operon,27,original,Operon,13.0,48.0,6.0,7.0,1.0,-0.0639297738671303 + 1.0392827987670898 * (1.9780735969543457 + (exp(-2.4385366439819336 * x1 * (2.257668972015381 * x1)) * (-10.097307205200195 * x1 * (391.67083740234375 * x1) * (-0.0011133030056953 * x1 * (-1.3449389934539795 * x1))) - exp(-1.7093311548233032 * x1 * (0.4650919437408447 * x1))) - exp(-1.2320897579193115 * x0 * (0.5889392495155334 * x0))),-0.0639297738671303 + 1.0392827987670898 * (1.9780735969543457 + (exp(-5.505408518240529 * (x1 * x1)) * (-5.921650519847204 * (x1 * x1 * (x1 * x1))) - exp(-0.7949961492935529 * (x1 * x1))) - exp(-0.7256260173647746 * (x0 * x0))),ok,7.0,ok,7.0,ok,7.0,421.0073750000447,126.03125,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
pagie,127,Operon,8,original,Operon,13.0,49.0,7.0,8.0,1.0,-0.0218773111701012 + 1.0134590864181519 * (-0.3641613721847534 * x0 * (2.2286646366119385 * x0) * exp(-2.4582626819610596 * x0 * (1.0862829685211182 * x0)) + (1.9716572761535645 - exp(-2.48940372467041 * x1 * (0.2193875461816788 * x1) * exp(-0.435789167881012 * x1 * (-0.4778871238231659 * x1)))) - exp(-1.3948150873184204 * x0 * (0.5922598838806152 * x0))),-0.0218773111701012 + 1.0134590864181519 * (-0.8115935722082384 * (x0 * x0) * exp(-2.670368883565345 * (x0 * x0)) + (1.9716572761535645 - exp(-0.5461441746109729 * (x1 * x1) * exp(0.20825803203194762 * (x1 * x1)))) - exp(-0.8260930216501379 * (x0 * x0))),ok,8.0,ok,8.0,ok,8.0,65.7051260350272,111.28125,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
kotanchek,124,Operon,5,sympy,Operon,13.0,59.0,10.0,12.0,2.0,(-2.201367937413991 * x0 * x1 * (0.006681275089699639 * x1 - 0.0298569388687611) * (4.6947760581970215 * x1 - exp(0.681245744228363 * x1)) * (15.17734146118164 * x0 * exp(5.357511043548584 * x0) + 1.0) * exp(0.0447766110301018 * x0) + 0.9997506737709045 * exp(7.688884496688843 * x0) - 0.8705414639299889 * exp(7.7336611077189445 * x0)) * exp(-7.7336611077189445 * x0),(-0.22322749986795287 * ((x1 - 4.468748624763382) * x0 * (exp(5.357511043548584 * x0) * x0 + 0.06588769202812311)) * x1 * (4.6947760581970215 * x1 - exp(0.681245744228363 * x1)) * exp(0.0447766110301018 * x0) + 0.9997506737709045 * exp(7.688884496688843 * x0) - 0.8705414639299889 * exp(7.7336611077189445 * x0)) * exp(-7.7336611077189445 * x0),ok,12.0,memory_limit,na,ok,12.0,8548.533084016526,328.96875,no_obvious_current_rule_path_or_rank_target_issue,no_improvement_in_completed_probe,"A completed larger-budget current-rule probe found no parameter reduction, and the expression does not clearly match one of the missing local rule families."
kotanchek,0,Bingo,1,original,Bingo,4.0,36.0,4.0,5.0,1.0,0.11064466475608078 + -0.010036545250561161 * (2.0 * x0 + 2.0 * x1) + 0.713072197849276 * ((0.022522799045566234 + x0 * x0) * (x0 * x0 + 2.0 ** (-1.0) * (x1 ** (-1.0) * exp(x0 * x0))) ** (-1.0)),-0.020073090501122322 * (x0 + x1 + -5.5120891698213805) + 0.713072197849276 * ((0.022522799045566234 + x0 * x0) * (x0 * x0 + 0.5 * (x1 ** (-1.0) * exp(x0 * x0))) ** (-1.0)),ok,5.0,memory_limit,na,ok,5.0,7491.477749979822,517.9375,requires_domain_sensitive_denominator_rules,no_improvement_in_completed_probe,The expression is dominated by division or negative powers; the known unsound common-denominator rewrites are disabled and safe replacements would need domain-aware denominator handling.
kotanchek,20,Bingo,20,original,Bingo,5.0,32.0,4.0,5.0,1.0,-0.03309619870833754 * (-3.819150332778322 + x0 + (0.03907279509253594 + x0 * x0) * ((-15.272972634101004 + -7.53747357012547 * x1) * exp(x0 * x0) ** (-1.0))),-0.03309619870833754 * (-3.819150332778322 + x0 + (0.03907279509253594 + x0 * x0) * (-7.53747357012547 * (x1 + 2.026272131107024) * exp(x0 * x0) ** (-1.0))),ok,5.0,ok,5.0,ok,5.0,43.68629099917598,110.015625,requires_domain_sensitive_denominator_rules,no_improvement_in_completed_probe,The expression is dominated by division or negative powers; the known unsound common-denominator rewrites are disabled and safe replacements would need domain-aware denominator handling.
kotanchek,195,SRjl,16,sympy,PySR,5.0,49.0,4.0,5.0,1.0,(0.6193677368705359 * x0 + x1) * (x0 * (x0 + x1 - exp(x1) - 3.302672572491928) + x1 ** 2.0 * (0.4943409476627152 - 2.0 * x1)) / ((x0 + x1 - exp(x1) - 3.302672572491928) * (-1.0 * x1 + exp(x0 ** 2.0) + exp(x1) + 2.853886507925958)),(0.6193677368705359 * x0 + x1) * (x0 * (x0 + x1 - exp(x1) - 3.302672572491928) + x1 ** 2.0 * (0.4943409476627152 - 2.0 * x1)) / ((x0 + x1 - exp(x1) - 3.302672572491928) * (exp(x0 ** 2.0) - x1 + exp(x1) - -2.853886507925958)),ok,5.0,ok,5.0,ok,5.0,48.80612599663437,110.453125,requires_domain_sensitive_denominator_rules,no_improvement_in_completed_probe,The expression is dominated by division or negative powers; the known unsound common-denominator rewrites are disabled and safe replacements would need domain-aware denominator handling.
kotanchek,8,Bingo,8,original,Bingo,6.0,21.0,2.0,6.0,4.0,0.11720391936222797 * (x1 * ((0.6931234338478329 + x0 * (6.4849819024041455 + -0.6667403548542734 * ((-1.3864562418418644 + x1) * (-1.3864562418418644 + x1)) - x0)) * exp(x0) ** (-1.0))),0.11720391936222797 * (x1 * ((0.6931234338478329 + x0 * (6.4849819024041455 + -0.6667403548542734 * ((-1.3864562418418644 + x1) * (-1.3864562418418644 + x1)) - x0)) * exp(x0) ** (-1.0))),ok,6.0,ok,6.0,ok,6.0,26.785541995195672,109.875,requires_domain_sensitive_denominator_rules,no_improvement_in_completed_probe,The expression is dominated by division or negative powers; the known unsound common-denominator rewrites are disabled and safe replacements would need domain-aware denominator handling.
kotanchek,204,SRjl,25,original,PySR,6.0,45.0,4.0,5.0,1.0,0.39857416499545906 / exp(x0 / 0.9061053191483835 * (x0 / 2.1124692156696177)) * ((0.09167619346933147 - (x1 * exp(x0) + x0 * x0) - x1 * (x0 - -0.21837017173690837)) / (x1 * (x1 + x0) - exp(x1) - exp(x0)) * x1 + x0) * 0.5611252244261848,0.2236500177835562 / exp(x0 / 0.9061053191483835 * (x0 / 2.1124692156696177)) * ((0.09167619346933147 - (x1 * exp(x0) + x0 * x0) - x1 * (x0 + 0.21837017173690837)) / (x1 * (x1 + x0) - exp(x1) - exp(x0)) * x1 + x0),ok,5.0,ok,5.0,ok,5.0,45.78270798083395,110.09375,requires_domain_sensitive_denominator_rules,no_improvement_in_completed_probe,The expression is dominated by division or negative powers; the known unsound common-denominator rewrites are disabled and safe replacements would need domain-aware denominator handling.
pagie,203,SRjl,24,sympy,PySR,7.0,24.0,6.0,7.0,1.0,1.021967424871605 - 1.0754695400311118 * exp(-0.7734843695524414 * x0 ** 2.0) + 2.792238560484319 / (3.4342474157379796 / (x1 ** 2.0) ** 1.8741636407391655 + 2.844338639118127),1.021967424871605 - 1.0754695400311118 * exp(-0.7734843695524414 * x0 ** 2.0) + 2.792238560484319 / (3.4342474157379796 / (x1 ** 2.0) ** 1.8741636407391655 + 2.844338639118127),ok,7.0,ok,7.0,ok,7.0,28.71941600460559,109.71875,requires_domain_sensitive_denominator_rules,no_improvement_in_completed_probe,The expression is dominated by division or negative powers; the known unsound common-denominator rewrites are disabled and safe replacements would need domain-aware denominator handling.
kotanchek,29,Bingo,29,sympy,Bingo,7.0,40.0,6.0,7.0,1.0,-1.0 * (6.656270926980652e-05 * x1 + 1.550707023441505e-05) * (35.56866639996601 * x1 * (x0 - exp(x0)) + (x1 - 6.784280947796324) * (exp(x0) - 52.61627831646421) * exp(x0)) * (exp(x0) - 52.61627831646421) / ((x0 - exp(x0)) * (x1 - 6.784280947796324)),(-6.656270926980652e-05 * x1 - 1.550707023441505e-05) * ((x1 - 6.784280947796324) * (exp(x0) - 52.61627831646421) * exp(x0) - -35.56866639996601 * x1 * (x0 - exp(x0))) * (exp(x0) - 52.61627831646421) / ((x0 - exp(x0)) * (x1 - 6.784280947796324)),ok,7.0,memory_limit,na,timeout,na,na,341.921875,requires_domain_sensitive_denominator_rules,no_improvement_in_completed_probe,The expression is dominated by division or negative powers; the known unsound common-denominator rewrites are disabled and safe replacements would need domain-aware denominator handling.
kotanchek,195,SRjl,16,original,PySR,7.0,40.0,4.0,5.0,1.0,(x1 + 0.6193677368705359 * x0) / (exp(x0 * x0) - x1 + (exp(x1) + 2.853886507925958)) * (x1 * ((x1 + (0.05317370141890812 / 1.1778919118254807 - 0.2923135815181234)) / (exp(x1) + 1.6282363698705866 - (x0 + x1) + exp(0.5154765131661209)) * (x1 + x1)) + x0),(x1 + 0.6193677368705359 * x0) / (exp(x0 * x0) - x1 + (exp(x1) + 2.853886507925958)) * (x1 * ((x1 + -0.24717047383135762) / (exp(x1) + 1.6282363698705866 - (x0 + x1) + 1.6744362026213413) * (x1 + x1)) + x0),ok,5.0,ok,5.0,ok,5.0,45.755375002045184,110.078125,requires_domain_sensitive_denominator_rules,no_improvement_in_completed_probe,The expression is dominated by division or negative powers; the known unsound common-denominator rewrites are disabled and safe replacements would need domain-aware denominator handling.
kotanchek,24,Bingo,24,sympy,Bingo,8.0,33.0,5.0,8.0,3.0,(0.13720269441638683 * (x0 ** 2.0 + x0) * (x1 + 2.4024045089083383) - 0.012790360845057828) / (x0 ** 2.0 + 0.32506758388128154 * exp(x0 ** 2.0) + 1.5068813313136211) + 0.006514843839523813 + 0.22159999840345782 * exp(-0.32506758388128154 * exp(x0 ** 2.0)),(0.13720269441638683 * (x0 ** 2.0 + x0) * (x1 + 2.4024045089083383) + -0.012790360845057828) / (x0 ** 2.0 + 0.32506758388128154 * exp(x0 ** 2.0) + 1.5068813313136211) + 0.006514843839523813 + 0.22159999840345782 * exp(-0.32506758388128154 * exp(x0 ** 2.0)),ok,8.0,ok,8.0,ok,8.0,55.54441598360427,110.609375,requires_domain_sensitive_denominator_rules,no_improvement_in_completed_probe,The expression is dominated by division or negative powers; the known unsound common-denominator rewrites are disabled and safe replacements would need domain-aware denominator handling.
kotanchek,209,SRjl,30,sympy,PySR,8.0,33.0,5.0,8.0,3.0,x1 * (x0 + x1 - 0.01811268853996139 * (-2.487415653599196 * x0 + exp(x0) + 0.7901026138870583) * (-3.0 * x1 + exp(x1) + 7.787500628085413) + 0.4553546802016498) / ((-2.487415653599196 * x0 + exp(x0) + 0.7901026138870583) * (-3.0 * x1 + exp(x1) + 7.787500628085413)),(x0 + x1 + -0.01811268853996139 * ((-2.487415653599196 * x0 + exp(x0) + 0.7901026138870583) * (-3.0 * x1 + exp(x1) + 7.787500628085413)) + 0.4553546802016498) * (x1 / ((-2.487415653599196 * x0 + exp(x0) + 0.7901026138870583) * (-3.0 * x1 + exp(x1) + 7.787500628085413))),ok,8.0,ok,8.0,ok,8.0,60.98254199605435,110.109375,requires_domain_sensitive_denominator_rules,no_improvement_in_completed_probe,The expression is dominated by division or negative powers; the known unsound common-denominator rewrites are disabled and safe replacements would need domain-aware denominator handling.
kotanchek,201,SRjl,22,original,PySR,9.0,42.0,5.0,6.0,1.0,((x0 * x0 - -0.4184240074286722) * 1.3494588771755316 * x0 - -0.332202367119374) * (x1 + x1 + ((exp(x1) + x0 + x0 - exp(x0) + 0.028361584423514188 - x0) * (-0.10210136673593478 * 1.0369436744891594) / 0.8313615517472167 - -0.3066975504454587)) * 0.21929540418100335 / exp(x0 * x0),0.29593012989585116 / exp(x0 * x0) * (x0 * (x0 * x0 - -0.4184240074286722) - -0.2461745020453577) * (x1 + x1 + -0.12734936583369594 * (exp(x1) + x0 + x0 - exp(x0) + 0.028361584423514188 - x0 - 2.4083162757635677)),ok,6.0,ok,6.0,ok,6.0,63.059999025426805,111.03125,requires_domain_sensitive_denominator_rules,no_improvement_in_completed_probe,The expression is dominated by division or negative powers; the known unsound common-denominator rewrites are disabled and safe replacements would need domain-aware denominator handling.
kotanchek,203,SRjl,24,original,PySR,9.0,44.0,7.0,8.0,1.0,((x0 + -0.14626012317910758) * 3.3628776435387486 + -0.050504132883325455 + (x1 - x0 + (exp(x1) - -0.6810625779422583 - x1) * -0.09649135468467125) * (x0 * 1.1635766746115828) + x1) / (exp(x0 * x0) + (exp(x1) + 3.3628776435387486 - x1)) * x1 / 1.3641929467844127 + 0.02765235981387666,(3.3628776435387486 * (-0.1612782529586318 + x0) + (x1 - x0 + (exp(x1) + 0.6810625779422583 - x1) * -0.09649135468467125) * (x0 * 1.1635766746115828) + x1) / (exp(x0 * x0) + (exp(x1) + 3.3628776435387486 - x1)) * x1 / 1.3641929467844127 + 0.02765235981387666,ok,8.0,ok,8.0,ok,8.0,70.9167500026524,110.765625,requires_domain_sensitive_denominator_rules,no_improvement_in_completed_probe,The expression is dominated by division or negative powers; the known unsound common-denominator rewrites are disabled and safe replacements would need domain-aware denominator handling.
