dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_n_params,source_before_nodes,n_rank,after_params,rank_gap,source_orig_parsed_expr,rendered,small_long_backoff_probe_status,small_long_backoff_probe_after_params,small_no_backoff_probe_status,small_no_backoff_probe_after_params,big_probe_status,big_probe_after_params,big_probe_runtime_ms,big_probe_peak_rss_mb,manual_classification,current_rules_outcome,manual_reason,agent_status,agent_id,conclusion_kind,new_rule_family,proposed_rule,proof_summary,domain_notes,remaining_gap_notes
pagie,17,Bingo,17,sympy,Bingo,12.0,23.0,4.0,9.0,5.0,-1.0 * (0.00015170797954567304 * x1 - 0.33614124518018773) * log(-1.0 * (2.0 * x1 - 7480.59586126575 * (x0 * x1 * (0.00015170797954567304 * x1 - 0.33614124518018773) - 1.7540433728398699e-06 * x1 + 0.0038864555787518342) ** 2.0) / (86.49043797591587 * x0 * x1 * (0.00015170797954567304 * x1 - 0.33614124518018773) - 0.00015170797954567304 * x1 + 0.33614124518018773)),-0.00015170797954567304 * (x1 - 2215.712358617164) * log(570111.3299045496 / ((x1 - 2215.712358617164) * (x0 * x1 - 0.011561971743956945)) * (((x1 - 2215.712358617164) * (0.00015170797954567304 * (x0 * x1 - 0.011561971743956945))) ** 2.0 - 0.00026735838121611763 * x1)),ok,9.0,memory_limit,na,ok,9.0,23345.70787503617,932.546875,requires_more_log_rules_or_better_log_factoring,no_improvement_in_completed_probe,"The expression still has log over products/divisions/powers, but completed larger-budget probes did not reduce params, so matching/order or additional log variants are needed beyond the current patterns.",pending,pending,pending,pending,pending,pending,pending,pending
pagie,27,Bingo,27,sympy,Bingo,12.0,55.0,7.0,10.0,3.0,0.3423580139257516 * log((-1.0 * x0 * (873.3376269371646 * x1 ** 2.0 * (0.02889247043398928 * x1 ** 2.0 + 0.22668301730799556 * log(-1.0 / x1) - 1.0) ** 2.0 + 0.4457591552950685) + 0.45123069569900626 * x1 * (0.8538385588541292 * x1 ** 2.0 + 6.699001432126425 * log(-1.0 / x1) - 29.552286323348394)) / (x1 * (0.8538385588541292 * x1 ** 2.0 + 6.699001432126425 * log(-1.0 / x1) - 29.552286323348394))),0.3423580139257516 * log(((x1 ** 2.0 - 34.61109365101552 - -7.845747141141808 * log(-1.0 / x1)) * x1 - 2266.7716520361028 * (x0 * ((0.22668301730799556 * (log(-1.0 / x1) + 0.12745758715013444 * x1 ** 2.0) - 1.0) ** 2.0 * x1 ** 2.0 - -0.0005104087371780447))) * (0.05751277572187188 / ((log(-1.0 / x1) - -0.12745758715013442 * x1 ** 2.0 - 4.411446485385775) * x1))),ok,10.0,memory_limit,na,ok,10.0,233643.18262500456,1010.4375,requires_more_log_rules_or_better_log_factoring,no_improvement_in_completed_probe,"The expression still has log over products/divisions/powers, but completed larger-budget probes did not reduce params, so matching/order or additional log variants are needed beyond the current patterns.",pending,pending,pending,pending,pending,pending,pending,pending
pagie,191,SRjl,12,sympy,PySR,14.0,48.0,8.0,10.0,2.0,((2.359309012197723 * exp(0.9529004740115692 * x1 ** 2.0) + 0.8213588416413087) * (-0.29449501491090135 * x0 * (0.01121699525562385 * x0 - 0.0034595170929518654) + 0.1710325412642745 * log(0.7556389413872189 * x0 ** 2.0 + 0.003918940250258392) + 1.626606201066414) - 3.3956432176026725) / (2.359309012197723 * exp(0.9529004740115692 * x1 ** 2.0) + 0.8213588416413087),0.1710325412642745 / (exp(0.9529004740115692 * x1 ** 2.0) + 0.3481353385227837) * ((exp(0.9529004740115692 * x1 ** 2.0) + 0.3481353385227837) * (9.230315510140056 + -0.019314156011727715 * (x0 * (x0 + -0.30841745174291413)) + log(x0 ** 2.0 + 0.0051862603098034015)) + -8.415084417662428),ok,10.0,memory_limit,na,ok,10.0,7443.074750975939,501.390625,requires_more_log_rules_or_better_log_factoring,no_improvement_in_completed_probe,"The expression still has log over products/divisions/powers, but completed larger-budget probes did not reduce params, so matching/order or additional log variants are needed beyond the current patterns.",pending,pending,pending,pending,pending,pending,pending,pending
pagie,25,Bingo,25,sympy,Bingo,3.0,18.0,2.0,3.0,1.0,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),ok,3.0,ok,3.0,ok,3.0,23.98991701193154,109.421875,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da99b-09b5-7ab2-8aff-9cf10a2bdfbb,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Current rules do not reduce 3->2. Even splitting log(x0*x1) or exp/additive forms leaves A, B, C generically independent in exp(A*(u+v+B)/(u+C)).","Requires x0>0, x1>0, log(x0)+C != 0 for the independence argument; no globally sound 2-param rewrite identified.",Likely rank/counting or finite-data artifact rather than rewrite-budget miss.
pagie,110,GOMEA,21,original,GP-GOMEA,4.0,17.0,3.0,4.0,1.0,1.950389 - 1.108799 * (exp(exp(-6.234) - x0 * x0) + exp(exp(-24.872) - x1 * x1)),1.108799 * (1.7590104247929514 - exp(0.0019615898236818204 - x0 * x0) - exp(1.5784384301013077e-11 - x1 * x1)),ok,4.0,ok,4.0,ok,4.0,36.91562602762133,109.90625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da99b-2318-7980-92d0-0338b4789cfa,new_rule_reduces_to_rank,exp_additive_constant_extraction,exp(c - x) -> exp(c) * exp(-x); exp(c + x) -> exp(c) * exp(x),"Fold exp(-6.234), exp(-24.872) to C,D; rewrite exp(C-X), exp(D-Y); factor exp(C) from the sum and combine B*exp(C), leaving A, B*exp(C), exp(D)/exp(C): 4->3.",Safe over reals because exp is total and exp(c-x)=exp(c)*exp(-x); exp(C)>0 for division.,Existing rules can finish after the new exp rule exposes constants.
pagie,118,GOMEA,29,original,GP-GOMEA,4.0,19.0,3.0,4.0,1.0,2.072676 - 0.00052 * (exp(x1 + 8.426 - exp(x1)) + exp(8.611 + x0 - exp(x0))),0.00052 * (3985.915384615385 - exp(x1 + 8.426 - exp(x1)) - exp(8.611 + x0 - exp(x0))),ok,4.0,ok,4.0,ok,4.0,35.90695801540278,109.8125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9a1-f0b8-7300-b736-4341c4bfe099,new_rule_reduces_to_rank,exp_additive_constant_extraction,k*(exp((u+c1)-v)+exp((w+c2)-z)) -> (k*exp(c1))*exp(u-v)+(k*exp(c2))*exp(w-z); include symmetric c+u/u+c forms,"Current rules stop at 4 params. Exp additive extraction gives 0.00052*exp(8.426)=2.37338748595467 and 0.00052*exp(8.611)=2.85570358866897, yielding 2.072676 - 2.37338748595467*exp(x1-exp(x1)) - 2.85570358866897*exp(x0-exp(x0)) with 3 params.","exp(a+b)=exp(a)*exp(b) is total over reals; only f64 overflow caveat, finite here.","Plain exp(c+u)->exp(c)*exp(u) exposes constants, but reaching rank needs distribution/scalar absorption across the exp sum."
kotanchek,114,GOMEA,25,original,GP-GOMEA,4.0,26.0,3.0,4.0,1.0,0.010559 + 0.013455 * ((4.203 - x1 + exp(-3.785)) * (x1 * x1 + (x1 + x1)) * exp(x0 + x0 - x0 * x0)),0.010559 + 0.013455 * ((4.203 - x1 + 0.022708862776731332) * (x1 * x1 + (x1 + x1)) * exp(x0 + x0 - x0 * x0)),ok,4.0,ok,4.0,ok,4.0,39.904041012050584,109.859375,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9a2-4257-7d31-bc94-03e9c2a10e9a,new_rule_reduces_to_rank,affine_constant_collection,"rewrite((a - x) + b).to((a + b) - x) for a=Num(af), b=Num(bf); optional symmetric b + (a - x)","Existing rules fold exp(-3.785) to 0.022708862776731332 but leave (4.203 - x1) + 0.022708862776731332. Collecting constants gives 4.225708862776731 - x1, reducing to constants 0.010559, 0.013455, 4.225708862776731: 4->3.",Pure add/sub reassociation over reals; no domain side conditions.,Current larger probes stay at 4; proposed local rule reaches n_rank=3.
pagie,171,SBP,21,original,SBP,4.0,31.0,2.0,4.0,2.0,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 - x1 * -0.703 - x0)),0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x1 + x0 + (-4.674 - x0)) * (x0 + 0.703 * x1 - x0)),ok,4.0,ok,4.0,ok,4.0,36.002998996991664,109.796875,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9a2-5f4a-7e40-bcec-0cda3509b1e8,needs_many_params_or_rank_artifact,no_rank_reducing_rule,No param-reducing rewrite proposed; optional node-only affine cancellation: (x + y) - x -> y and (x + y) + (a - y) -> x + a.,"Affine cancellation simplifies exponent to 2*x0 - x0^2 - 0.703*x1^2 + 3.285822*x1, but still has outer 0.028119 and 0.006351 plus two independent x1-shape constants (0.703 and 4.674, or 0.703 and 3.285822).",Additive cancellations are unconditional over reals; exp is total. There is no pure additive exponent constant to absorb into 0.006351 without preserving an equivalent shape constant.,n_rank=2 does not look reachable by sound structural rewrites under current ParamCost; likely rank/counting artifact or genuinely four-parameter form.
pagie,171,SBP,21,sympy,SBP,4.0,35.0,2.0,4.0,2.0,0.006351 * exp(-1.0 * x0 ** 2.0 + 2.0 * x0 - 0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,0.006351 * exp(2.0 * x0 - x0 ** 2.0 + -0.703 * x1 ** 2.0 + 3.285822 * x1) + 0.028119,ok,4.0,memory_limit,na,ok,4.0,11430.075250013031,687.3125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9a2-7fe8-7a41-8e46-f0b2a3d4ea52,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Completing the square gives B*exp(-(x0-1)^2 - 0.703*(x1-2.337)^2) + 0.028119 with B=0.006351*exp(4.839483007), still four non-integer constants B, 0.703, 2.337, 0.028119. Comparing quadratic log coefficients shows these are generically identifiable.","Real x0,x1; exp total; A=0.006351 nonzero and 0.703>0. Exp absorption/completing-square are safe but do not lower count.",n_rank=2 appears to be rank/metric artifact rather than reachable by sound rewrite.
pagie,175,SBP,25,sympy,SBP,4.0,36.0,2.0,4.0,2.0,(0.00540440450573385 * x1 ** 2.0 * (x1 - 6.944) * (x1 - 4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 - 1.0))) * exp(x0 * (1.0 - x0)),(0.00540440450573385 * x1 ** 2.0 * (x1 + -6.944) * (x1 + -4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 + -1.0))) * exp(x0 * (1.0 - x0)),ok,4.0,ok,4.0,ok,4.0,77.48412498040125,100.390625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9a2-aa68-7373-9a6b-68312ba47ad9,needs_many_params_or_rank_artifact,exp_product_or_quotient_normalization,none reducing params; exp(u)*exp(v)->exp(u+v) with distribution only gives shape simplification,"Let A=0.00540440450573385, B=0.015024, c=6.944, d=4.3, q=x0*(x0-1), r=x0*(1-x0)=-q. Then E=(A*x1^2*(x1-c)*(x1-d)*exp(x0)+B*exp(q))*exp(r)=B+A*x1^2*(x1-c)*(x1-d)*exp(2*x0-x0^2), still A,B,c,d = 4 params.",exp(q)*exp(-q)=1 is safe over reals; no log/division/sqrt restrictions. Polynomial factor has genuine 3-param freedom when A!=0 and c!=d; B is independent offset.,Rank target 2 is not explained by globally sound rewrite; likely finite-data/numerical rank or counting artifact.
pagie,96,GOMEA,7,original,GP-GOMEA,5.0,17.0,3.0,4.0,1.0,1.918745 - 23802.792114 * (exp(-10.432 - x0 * x0) + exp(2.7 - 12.507 - x1 * x1)),23802.792114 * (8.061008098589655e-05 - exp(-10.432 - x0 * x0) - exp(-9.806999999999999 - x1 * x1)),ok,4.0,ok,4.0,ok,4.0,41.23879096005112,97.046875,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9a7-2f6b-7992-b030-311bdc921443,new_rule_reduces_to_rank,exp_additive_constant_extraction,a*(k - exp(c+u) - exp(d+v)) -> (a*exp(c))*(k/exp(c) - exp(u) - exp(d-c)*exp(v)); include sign/order variants,"Current rules fold 2.7-12.507 and factor to 23802.792114*(8.061008098589655e-05 - exp(-10.432-x0*x0) - exp(-9.807-x1*x1)). Extracting exp constants and outer scale gives 0.7015649253789731*(2.7349500104548805 - exp(-x0*x0) - 1.8682459574322257*exp(-x1*x1)), with 3 floats.",Sound over reals because exp(c)>0 and exp(c+u)=exp(c)*exp(u); no log/abs restrictions.,Reaches rank if scaled exp additive extraction is available; no current-rule-only path.
kotanchek,100,GOMEA,11,original,GP-GOMEA,5.0,21.0,3.0,4.0,1.0,0.012093 - 0.012131 * (exp(x0 + x0 - x0 * x0) * ((2.494 - 14.259) * x1 + exp(x1 - 0.338))),0.012093 - 0.012131 * (exp(x0 + x0 - x0 * x0) * (-11.765 * x1 + exp(x1 - 0.338))),ok,4.0,ok,4.0,ok,4.0,37.79708399088122,109.84375,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9a7-f3c3-77c1-b77b-d4c7a568acde,new_rule_reduces_to_rank,exp_additive_constant_extraction,for af>0: af*(z*(bf*x+exp(y+cf))) -> z*((af*bf)*x+exp(y+(cf+log(af)))); include subtraction and term-order variants,"Existing rules fold 2.494-14.259=-11.765 but do not absorb a positive scale into exp. With B=0.012131, C=-11.765, cf=-0.338: A-B*E*(C*x1+exp(x1+cf)) = A-E*((B*C)*x1+exp(x1+cf+log(B))), leaving 3 params.",Requires positive absorbed scale; row has B>0. Negative scale cannot be absorbed into real exp; zero scale is separate simplification.,New rule reduces 4->3; current-rule-only path not found.
kotanchek,21,Bingo,21,sympy,Bingo,5.0,24.0,3.0,4.0,1.0,0.35701166729086253 * (-1.0 * x0 - exp(x0)) / (0.17850583364543127 * x0 * exp(x0) - exp(0.35701166729086253 * x0 + 0.35701166729086253 * exp(x0)) + log(x0 + exp(x0)) - 1.0299868162495163),-0.35701166729086253 * (x0 + exp(x0)) / (0.17850583364543127 * x0 * exp(x0) - exp(0.35701166729086253 * (x0 + exp(x0))) + log(x0 + exp(x0)) + -1.0299868162495163),ok,4.0,memory_limit,na,ok,4.0,205275.5319570133,860.171875,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9ae-93dc-7980-abfc-edf82a1ce942,new_rule_reduces_to_rank,quotient_coefficient_exposure,"(a*x)/(b*y + z) -> x/(y/(a/b) + z/a); guards: a != 0, b != 0, a/b integer-valued/profitable; add sign/order variants","Current rules stop at (-A*u)/(B*v - exp(A*u)+log(u)-C), counted as A,B,A,C. Scaling the denominator by A uses A/B=2, producing u/(v/-2 + tail/-A), counted as A,A,C because -2 is integer-valued: 4->3.",Nonzero scaling preserves denominator zeros and adds no log/exp domain restrictions.,Reaches rank; profitability guard avoids cases where a/b introduces a counted float.
pagie,169,SBP,19,original,SBP,5.0,28.0,4.0,5.0,1.0,0.012782 + 0.160826 * (exp(x0 * x0 - exp(x0)) * (x0 - (-13.585 - x0 + exp(2.825 - x1 * x1)) * x0 + 2.825)),0.012782 + 0.160826 * (exp(x0 * x0 - exp(x0)) * (x0 - (-13.585 - x0 + exp(2.825 - x1 * x1)) * x0 + 2.825)),ok,5.0,ok,5.0,ok,5.0,24.88287500455044,110.078125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9af-171a-7b10-a341-6aa40269ee4a,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Current rules can reorder/factor but cannot eliminate the duplicated 2.825 across an additive term and exp(2.825 - x1^2). Under occurrence-count cost there are five non-integer float occurrences: 0.012782, 0.160826, -13.585, 2.825, 2.825.",Integer literals in x0*x0 do not count. Treating the two 2.825 occurrences as a shared symbol is not represented by the current Num tree cost.,"Closing this likely requires shared-parameter/let-binding accounting, not a local rewrite."
pagie,175,SBP,25,original,SBP,5.0,28.0,2.0,5.0,3.0,0.015024 + 291401.986945 * (exp(-17.803 + x0) * ((x1 - 6.944) * x1) * ((x1 - 5.3) * x1 + x1) * exp(x0 - x0 * x0)),0.015024 + 291401.986945 * (exp(-17.803 + x0) * ((x1 + -6.944) * x1) * ((x1 + -5.3) * x1 + x1) * exp(x0 - x0 * x0)),ok,5.0,ok,5.0,ok,5.0,93.5718759719748,112.015625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9b3-c165-7272-a2d8-745fba6fe026,new_rule_partial_reduction,exp_additive_constant_extraction,"Num(a)*exp(Num(b)+x) -> Num(a*b.exp())*exp(x), plus exp(x+Num(b)) and commuted product variants; finite/profitable/non-subsuming guards","Current rules cannot split exp(-17.803+x0) or absorb it into adjacent coefficient. Rewriting 291401.986945*exp(-17.803+x0) to 0.005404404505733848*exp(x0) reduces 5->4, giving shape 0.015024 + 0.005404404505733848*exp(2*x0-x0*x0)*x1^2*(x1-6.944)*(x1-4.3).",exp(b+x)=exp(b)*exp(x) is real-total; finite f64 guards avoid inf/NaN. Use non-subsuming rewrite so extraction can ignore unprofitable splits.,"Still not rank 2; remaining intercept, scale, and two distinct roots are generically independent. Likely finite-sample/rank artifact after partial reduction."
kotanchek,150,SBP,1,original,SBP,5.0,29.0,4.0,5.0,1.0,0.053829 - 0.000194 * ((exp(x0 + 19.367 - x0 * x0) * exp(-13.819 + x0) - x1 * exp(x1)) * (-1.237 - x1) + exp(x0)),0.053829 - 0.000194 * ((exp(x0 + 19.367 - x0 * x0) * exp(-13.819 + x0) - x1 * exp(x1)) * (-1.237 - x1) + exp(x0)),ok,5.0,ok,5.0,ok,5.0,27.43079198990017,109.59375,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9b3-e450-7510-98ce-2af41036a6d6,new_rule_reduces_to_rank,exp_additive_constant_extraction,"exp((u+Num(a))-v) * exp(Num(b)+w) -> exp(Num(a+b)) * exp((u-v)+w), with order variants; apply when ParamCost lowers","Current rules do not combine exp products or extract additive constants. exp(x0+19.367-x0*x0)*exp(-13.819+x0) = exp(5.548)*exp(2*x0-x0*x0). Result has non-integer params 0.053829, 0.000194, exp(5.548), -1.237: 5->4.","exp product identity is total over reals; guard is for finite f64/profitability, not domain.",Reaches rank; needs variants to expose constants in mixed add/sub shapes.
kotanchek,190,SRjl,11,original,PySR,5.0,43.0,3.0,5.0,2.0,exp(x0 + -0.21546645087388747 - x0 * x0 - (x1 - x0)) * ((x1 + (exp((x1 - x1 * x1 + (x1 + 0.7393127343318426)) * x1) + x1 * x1 - x1) * -0.07637600437144379) * 0.7393127343318426 * (x1 + x1 * 0.05221153846822916)),exp(x0 + -0.21546645087388747 - x0 * x0 - (x1 - x0)) * ((x1 + (exp((x1 - x1 * x1 + (x1 + 0.7393127343318426)) * x1) + x1 * x1 - x1) * -0.07637600437144379) * 0.7393127343318426 * (x1 + x1 * 0.05221153846822916)),ok,5.0,ok,5.0,ok,5.0,27.490208012750372,109.96875,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9bb-f48a-7fe2-b88f-ae37547fc2d3,new_rule_reduces_to_rank,affine_constant_collection,"exp(Num(a)+x)->Num(exp(a))*exp(x), finite a; and x+Num(a)*x -> (Num(1.0)+Num(a))*x, with symmetric variants and finite/profitable guards","Current rules cannot expose -0.21546645087388747 inside exp or collect x1 + 0.05221153846822916*x1. Rewriting gives K*exp(G)*x1*(x1 + c2*T), where K=exp(c0)*c1*(1+c3), leaving only K, c2, and c1 as non-integer float params: 5->3.",Both identities are total over reals; use finite literal guards and avoid no-op matches. No log/sqrt/division side conditions.,Reaches rank; implementation concern is controlling exp-split and implicit-one coefficient collection growth.
pagie,92,GOMEA,3,original,GP-GOMEA,6.0,17.0,3.0,4.0,1.0,1.950381 - 42823.103036 * (exp(11.065 - 21.622 - x0 * x0) + exp(-3.089 - 7.475 - x1 * x1)),42823.103036 * (4.554506473667678e-05 - exp(-10.557 - x0 * x0) - exp(-10.564 - x1 * x1)),ok,4.0,ok,4.0,ok,4.0,35.81479098647833,109.828125,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9bc-72eb-7622-bb69-0ff767ba287f,new_rule_reduces_to_rank,exp_additive_constant_extraction,Num(k)*(Num(m)+sum s_i*exp(Num(c_i)+u_i)) -> Num(k*m)+sum s_i*Num(k*exp(c_i))*exp(u_i); finite/profitable guards,Current rules factor to 42823.103036*(4.5545e-05 - exp(-10.557-x0^2)-exp(-10.564-x1^2)) but cannot extract exp constants or distribute scale. Proposed rule yields 1.950381 - 1.1138617444599723*exp(-x0^2) - 1.1060919382970058*exp(-x1^2): 4->3.,exp identities are real-total; guards are f64 finite/profitability.,Reaches rank; plain unary exp split without scalar absorption may only partially help.
pagie,100,GOMEA,11,original,GP-GOMEA,6.0,17.0,3.0,4.0,1.0,1.950391 - 2.1e-05 * (exp(13.012 - 2.124 - x0 * x0) + exp(-1.572 + 12.461 - x1 * x1)),2.1e-05 * (92875.76190476191 - exp(10.888 - x0 * x0) - exp(10.889 - x1 * x1)),ok,4.0,ok,4.0,ok,4.0,36.43008301150985,109.765625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9bc-9995-7810-88db-1f16ce55f995,new_rule_reduces_to_rank,exp_additive_constant_extraction,Num(af)*(Num(kf)-exp(Num(cf)+u)-exp(Num(df)+v)) -> Num(af*exp(cf))*(Num(kf/exp(cf))-exp(u)-Num(exp(df-cf))*exp(v)); finite/profitable variants,"Current rules factor to 2.1e-05*(92875.7619-exp(10.888-x0^2)-exp(10.889-x1^2)). Proposed rule gives 1.1241327840379391*(1.7350183427567174 - exp(-x0^2) - 1.0010005001667077*exp(-x1^2)), exactly 3 params.",exp(c+u)=exp(c)*exp(u) is real-total; keep signs outside exp and guard finite f64 folds.,Reaches rank; needs order/subtraction variants and profitability control.
pagie,109,GOMEA,20,original,GP-GOMEA,6.0,17.0,3.0,4.0,1.0,1.949837 - 1e-05 * (exp(9.658 + 1.885 - x1 * x1) + exp(10.589 + 1.026 - x0 * x0)),1e-05 * (194983.69999999998 - exp(11.543 - x1 * x1) - exp(11.615 - x0 * x0)),ok,4.0,ok,4.0,ok,4.0,35.573417000705376,109.71875,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9bc-b8f6-7733-85ce-1aa708945ba5,new_rule_reduces_to_rank,exp_additive_constant_extraction,s*(K-exp(c+u)-exp(d+v)) -> (s*exp(c))*(K/exp(c)-exp(u)-exp(d-c)*exp(v)); finite/profitable guards,"Current rules factor to 1e-05*(194983.7-exp(11.543-x1^2)-exp(11.615-x0^2)). Proposed rule yields 1.0305313417752837*(1.8920695770795672 - exp(-x1^2) - 1.0746553440638147*exp(-x0^2)), with 3 params.",Real-total exp identities; finite f64 and profitability guards only.,Reaches rank; no current-rule-only path without exp additive-scale edge.
pagie,111,GOMEA,22,original,GP-GOMEA,6.0,17.0,3.0,4.0,1.0,1.93893 - 5.4461 * (exp(-0.454 - 1.011 - x1 * x1) + exp(-1.344 - 0.479 - x0 * x0)),5.4461 * (0.3560217403279411 - exp(-1.4649999999999999 - x1 * x1) - exp(-1.823 - x0 * x0)),ok,4.0,ok,4.0,ok,4.0,35.173374955775216,109.65625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9bc-db35-7b52-bc44-1357e7a2a149,new_rule_reduces_to_rank,exp_product_or_quotient_normalization,Num(a)*(exp(Num(b)+x)+exp(Num(c)+y)) -> Num(a*exp(b))*exp(x)+Num(a*exp(c))*exp(y); plus single-term and commuted variants; finite guards,"Current rules produce 5.4461*(0.3560217403279411 - exp(-1.465-x1^2) - exp(-1.823-x0^2)). Absorbing exp shifts gives 1.93893 - 1.2584738493846883*exp(-x1^2) - 0.8797651837046532*exp(-x0^2), exactly 3 params.",exp total over reals; f64 finite guards avoid inf/NaN.,"Reaches rank; missing guarded exp-additive scalar absorption/distribution, not more iterations."
kotanchek,155,SBP,6,original,SBP,6.0,26.0,4.0,5.0,1.0,0.684378 - 0.025139 * (x0 * x0 + (19.711 - (x1 - exp(exp(-20.972) - x1 * -0.586) - x1 * (x1 - 5.42))) - x1),0.025139 * (7.512755917100922 + x1 - exp(-0.586 * (-1.3306949523770083e-09 - x1)) - x1 * (x1 + -5.42) - x0 * x0 + x1),ok,5.0,ok,5.0,ok,5.0,69.00650000898167,111.15625,requires_new_exp_additive_rules,no_improvement_in_completed_probe,The likely remaining parameter reduction needs factoring constants out of exp(additive expression); current rules fold exp(Num) and log(exp(x)) but do not split/normalize exp(x+c).,done,019da9c1-8a47-7913-8576-de2221ca7019,needs_many_params_or_rank_artifact,no_rank_reducing_rule,"no exact rank-reducing rule; optional exp(Num(c)+y)->Num(exp(c))*exp(y), finite c; do not drop near-zero constants without approximate semantics",Current rules fold exp(-20.972) and affine constants but cannot split exp additive constant. Exact normal form a*(B+G*x1-x1^2-x0^2-exp(D+C*x1)) has five independent floats; tiny D ~= 7.8e-10 is exact and independent.,"Exp additive split is exact but only partial; dropping D would be approximate/tolerance-based, not exact.","n_rank=4 likely numerical rank artifact from tiny D; matching it requires deliberate approximate-rule policy, not more exact rewrites."
